Language	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
yupik	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
huasteco	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
ashuslay	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
ossetian	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	-	-	+	+	-	+	-	+
jumjum	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	+
gadsup	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	-
abujmaria	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	-	+	-	+
kasɩm	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
yavitero	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
mbodomo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
ouldeme	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
chindali	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
katcha	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
sirionó	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
arrernte	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	-
maltese	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
japreria	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
teke	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
lele (lyélé)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
glavda	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
olukisa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
myene	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ega	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	+	+	-	+	-	-	+	+	-	-	-	-
sama	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
shuswap	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
nanti	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
soddo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
bésɨro	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
eton	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
arbore	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	-	+	+	+	+	-	-
pana	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
quechua	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	+	+	-	+
urdu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
salasca quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
bakairi	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
huanca	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
pray	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	+
shanjo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
wobé	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
oku	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
huichol	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
tocco	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	+	-	+
soninke (mali)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
mayogo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
warekena	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
yuhup	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
oko	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
umbundu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
sentani	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	-	+	+	+	-	-
balese	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
gwandara (cancara)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
mongo-nkundu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
shiriana	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
parakanã	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
highland chinantec	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kasem	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
baoulé (baule; baulé)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
amanab	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
lua	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
xetá	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
máíhɨki	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	-	+	-	-	+	-	+	+	-	+	+	-	-	-	-
toda	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
marwari	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
huallaga huánuco quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
iñupiaq; iñupiat; inupiat; inupiaq	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
alamblak	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
burushaski	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
izi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
gbaya (northwest, car)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
pilaga; pilagá	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
salish	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
jomang	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
karbi (mikir)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
banjara	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
zuni	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
chokri	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	-	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
nishgha	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
senadi	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
moseten	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
gangam	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
chuave	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
cholón	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
cayuvava	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
lega-shabunda	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
chamacoco	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kofyar	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
irarutu	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
santiago del estero quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
joola 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
ashéninka (ucayali-yurúa dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
igede	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
teda	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
san martin quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
ngad'a; ngadha	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
seimat	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
tampulma	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kom	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
dagur	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
chiriguano (izoceño dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
makassar	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
nias	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
cavineña	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kalkatungu	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	-
cofán	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
shindazidja	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
hanga	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
hoti	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	-	+	+	+	-	-
dan 	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
akan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bambara	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
reyesano	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
attie	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
west makian	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tsuvaɗi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
basaa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
azande	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
napo quichua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
karok	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
huave, san mateo del mar	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
dani	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
belait	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
ngizim	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
mamenyan	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
pagasinan	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
kabardian	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
wayampi (alto jarí dialect)	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
kare	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
karo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	+	+	-	-
tanimuca-retuarã	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
cherokee	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
sele	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
omagua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
rikbaktsa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
paraujano	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
birifor	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
imonda	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
awngi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
kwaza	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
tuva	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
navaho	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
itelmen	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-	+
pulaar 	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
kam	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
kar	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
mende	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
balante	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
themne	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
chamicuro	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
mahas-fiyadikka	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
yawa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
dogon 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
matbat	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
slovene	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
ẹdo 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
satawalese	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
doayo	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
wichita	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	+	-	-	-	+	+	-	+	+	+	+	-	-
nubi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
tangkul naga	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
spokan	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
huaylas	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
khalkha	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
karo batak	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
songhay, koyraboro senni	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
kituba	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
orma	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	-	+	+	+	-	-	-
ibani	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
sesotho	-	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	+
adja (bénin)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
yay	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kada	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
bilinara	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	-	+	+	-	-	-
northern mao	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
yambɛta	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
